order_book_id,date,low,prev_close,limit_up,open,num_trades,high,limit_down,volume,close,total_turnover
601318.XSHG,2016-09-14,28.3016,34.72,31.6312,28.5749,20944.0,28.6578,25.8831,35213691.0,28.4093,1209854981.0
601318.XSHG,2016-09-19,28.4921,34.3,31.2502,28.4921,27654.0,29.0885,25.5684,37266601.0,28.9642,1299423507.0
601318.XSHG,2016-09-20,28.8234,34.97,31.8631,28.9642,10862.0,28.9642,26.0653,14666356.0,28.8648,511357129.0
601318.XSHG,2016-09-21,28.5584,34.85,31.7555,28.898,15120.0,28.9725,25.9825,35247928.0,28.7158,1221792400.0
601318.XSHG,2016-09-22,28.8317,34.67,31.5898,28.8317,25152.0,29.2955,25.8417,54132989.0,28.9974,1900551187.0
601318.XSHG,2016-09-23,28.7572,35.01,31.8963,29.0305,13965.0,29.1547,26.0985,31439120.0,28.898,1098490198.0
601318.XSHG,2016-09-26,28.4341,34.89,31.7886,28.7903,16873.0,28.8069,26.0073,32852645.0,28.4756,1136732880.0
601318.XSHG,2016-09-27,28.3182,34.38,31.3248,28.3513,15831.0,28.4921,25.6263,45825170.0,28.459,1570164477.0
601318.XSHG,2016-09-28,28.2602,34.36,31.3082,28.4756,13326.0,28.4756,25.6098,31733236.0,28.2768,1085617191.0
601318.XSHG,2016-09-29,28.2851,34.14,31.1011,28.3679,12889.0,28.5253,25.4524,23086975.0,28.3182,791168926.0
601318.XSHG,2016-09-30,28.2105,34.19,31.1508,28.2436,9950.0,28.3844,25.4855,19403198.0,28.2933,663564710.0
601318.XSHG,2016-10-10,28.4093,34.16,31.126,28.5418,18909.0,28.8234,25.4607,34119412.0,28.6578,1178163526.0
601318.XSHG,2016-10-11,28.3679,34.6,31.5235,28.6743,21449.0,28.782,25.792,49375218.0,28.4756,1701605543.0
601318.XSHG,2016-10-12,28.3265,34.38,31.3248,28.3762,15455.0,28.5253,25.6263,30854074.0,28.4093,1058073370.0
601318.XSHG,2016-10-13,28.1691,34.3,31.2502,28.343,20210.0,28.4259,25.5684,34546745.0,28.2602,1179218576.0
601318.XSHG,2016-10-14,28.2022,34.12,31.0846,28.2685,17084.0,28.3099,25.4358,23156048.0,28.2519,789617892.0
601318.XSHG,2016-10-17,28.0614,34.11,31.0763,28.2602,18023.0,28.3099,25.4276,30921443.0,28.1111,1051714363.0
601318.XSHG,2016-10-18,28.0614,33.94,30.9189,28.0614,19798.0,28.401,25.3033,28336027.0,28.3265,967199042.0
601318.XSHG,2016-10-19,28.2436,34.2,31.1591,28.3596,11229.0,28.3844,25.4938,20515200.0,28.2602,700734096.0
601318.XSHG,2016-10-20,28.2519,34.12,31.0846,28.2933,9834.0,28.3596,25.4358,12768281.0,28.2768,436313660.0
601318.XSHG,2016-10-21,28.2022,34.14,31.1011,28.2602,14447.0,28.3927,25.4524,28003163.0,28.343,955961700.0
601318.XSHG,2016-10-24,28.2851,34.22,31.1757,28.343,26237.0,28.8151,25.5104,42090949.0,28.5667,1451824779.0
601318.XSHG,2016-10-25,28.4921,34.49,31.4242,28.6246,15000.0,28.6743,25.7092,23971961.0,28.6164,826719816.0
601318.XSHG,2016-10-26,28.4838,34.55,31.4821,28.6246,13731.0,28.6909,25.7589,19737703.0,28.5087,680587630.0
601318.XSHG,2016-10-27,28.2436,34.42,31.3579,28.5087,14460.0,28.517,25.6595,21764326.0,28.3182,744556017.0
601318.XSHG,2016-10-28,28.459,34.19,31.1508,28.4921,19795.0,28.7654,25.4855,32514938.0,28.5998,1123315941.0
601318.XSHG,2016-10-31,28.3265,34.53,31.4573,28.4921,14124.0,28.6992,25.7423,23435296.0,28.6661,808674419.0
601318.XSHG,2016-11-01,28.5749,34.61,31.5318,28.6826,24497.0,29.0719,25.8003,36719126.0,29.0388,1282156408.0
601318.XSHG,2016-11-02,28.6081,35.06,31.946,28.898,16635.0,28.9725,26.1316,25676031.0,28.6661,892639555.0
601318.XSHG,2016-11-03,28.5915,34.61,31.5318,28.6495,17580.0,29.0636,25.8003,40514435.0,28.9642,1412764012.0
601318.XSHG,2016-11-04,28.8814,34.97,31.8631,28.8897,16062.0,29.1216,26.0653,26447974.0,28.9311,925529772.0
601318.XSHG,2016-11-07,28.8897,34.93,31.8217,28.9725,12681.0,29.0305,26.0405,21516692.0,28.9808,752624552.0
601318.XSHG,2016-11-08,28.8897,34.99,31.8797,29.0802,14722.0,29.1382,26.0819,28683168.0,28.9891,1005144719.0
601318.XSHG,2016-11-09,28.4341,35.0,31.888,28.9891,24624.0,28.9974,26.0902,68834550.0,28.7489,2389583084.0
601318.XSHG,2016-11-10,28.8648,34.71,31.6229,28.9228,18503.0,29.1547,25.8748,35280334.0,28.9394,1235297816.0
601318.XSHG,2016-11-11,28.8731,34.94,31.83,28.9477,21467.0,29.1879,26.0488,52390695.0,28.9808,1836030752.0
601318.XSHG,2016-11-14,28.8897,34.99,31.8797,28.9228,21608.0,29.0968,26.0819,68357166.0,28.9477,2393598916.0
601318.XSHG,2016-11-15,28.9063,34.95,31.8466,28.9725,14289.0,28.9974,26.057,28690403.0,28.9559,1002698055.0
601318.XSHG,2016-11-16,28.9145,34.96,31.8549,28.9891,13678.0,29.0719,26.057,24386997.0,29.0056,853899376.0
601318.XSHG,2016-11-17,28.8234,35.02,31.9045,28.9808,10985.0,29.0056,26.1067,23871563.0,28.9891,835013724.0
601318.XSHG,2016-11-18,28.9394,35.0,31.888,28.9891,11427.0,29.0388,26.0902,32069691.0,28.9974,1122418018.0
601318.XSHG,2016-11-21,28.9477,35.01,31.8963,28.9477,56431.0,30.1072,26.0985,108903560.0,29.7345,3918207061.0
601318.XSHG,2016-11-22,29.66,35.9,32.708,29.66,46279.0,30.1818,26.7611,73702179.0,29.9167,2668070771.0
601318.XSHG,2016-11-23,29.7842,36.12,32.9067,29.9996,27519.0,30.1072,26.9267,44013312.0,29.8008,1589604839.0
601318.XSHG,2016-11-24,29.8008,35.98,32.7825,29.8008,30136.0,30.3391,26.819,52076453.0,30.1652,1891778690.0
601318.XSHG,2016-11-25,29.9581,36.42,33.1801,30.1652,30166.0,30.4799,27.1503,45833079.0,30.4634,1670622682.0
601318.XSHG,2016-11-28,30.2646,36.78,33.5114,30.6539,39324.0,30.9521,27.4154,68897851.0,30.3226,2545372847.0
601318.XSHG,2016-11-29,30.1901,36.61,33.354,30.3226,34652.0,30.8941,27.2911,66538624.0,30.4551,2455023676.0
601318.XSHG,2016-11-30,30.0078,36.77,33.5031,30.4882,33383.0,30.7201,27.4071,50803984.0,30.0907,1860542541.0
601318.XSHG,2016-12-01,30.0161,36.33,33.0972,30.1072,26790.0,30.422,27.0841,47438609.0,30.1652,1728939212.0
601318.XSHG,2016-12-02,29.7925,36.42,33.1801,30.1652,29363.0,30.1735,27.1503,63371507.0,30.041,2290250433.0
601318.XSHG,2016-12-05,29.7097,36.27,33.0475,29.7842,22617.0,30.0575,27.0344,62209526.0,30.0327,2244795953.0
601318.XSHG,2016-12-06,29.925,36.26,33.0393,29.9747,19388.0,30.2066,27.0261,37612545.0,29.9581,1365476594.0
601318.XSHG,2016-12-07,29.8753,36.17,32.9564,29.9581,18262.0,30.3474,26.9598,31067029.0,30.1983,1127983993.0
601318.XSHG,2016-12-08,30.1735,36.46,33.2215,30.3226,17206.0,30.422,27.1752,29516834.0,30.2315,1079442252.0
601318.XSHG,2016-12-09,30.2149,36.5,33.2546,30.3474,30395.0,30.7698,27.2083,48703347.0,30.5296,1793610602.0
601318.XSHG,2016-12-12,30.3971,36.86,33.5859,30.745,47288.0,31.2751,27.4734,106934394.0,30.5628,3969638952.0
601318.XSHG,2016-12-13,30.2646,36.9,33.619,30.4799,20329.0,30.5959,27.5065,39559741.0,30.3557,1452198317.0
601318.XSHG,2016-12-14,30.3226,36.65,33.3954,30.3391,30861.0,31.0597,27.3243,58644985.0,30.6704,2176302854.0
601318.XSHG,2016-12-15,29.3452,37.03,33.735,30.4634,57041.0,30.5545,27.6059,78608340.0,29.486,2830157187.0
601318.XSHG,2016-12-16,29.3204,35.6,32.4346,29.3701,34021.0,29.6268,26.5374,34099443.0,29.3866,1212632676.0
601318.XSHG,2016-12-19,29.2458,35.48,32.327,29.3866,19340.0,29.486,26.4463,29559617.0,29.3204,1047994448.0
601318.XSHG,2016-12-20,28.5335,35.4,32.2524,29.3369,37054.0,29.3618,26.3883,62695062.0,28.7075,2184834561.0
